CTAS,GOOG,HAS,HOLX,IDXX,JBHT,KLAC,LILAK,SHPG
125.76249999999999,817.505,98.885,42.39,152.62,92.95,95.52,22.58,177.76
125.755,817.76,98.83,42.3875,152.65999999999997,92.81,95.55,22.59,177.76
125.92,818.9199999999997,98.94,42.41,152.69999999999996,92.79,95.58,22.6,177.88
125.91,818.52,98.95,42.41,152.6745,92.74,95.56,22.68,177.8
125.9,819.355,99.03,42.42,152.69,92.7,95.57,22.69,177.8
125.95,819.48,98.99,42.42,152.77,92.66,95.6125,22.68,177.725
125.99000000000001,819.08,99.07,42.43,152.76,92.6,95.655,22.695,177.85
126.03,819.82,99.16,42.44,152.76,92.61000000000004,95.69,22.71,178.02
125.975,819.52,99.1,42.45,152.7625,92.64,95.68,22.7,177.94
125.92,819.18,99.07,42.45,152.765,92.55,95.675,22.72,177.74
125.99,819.0299999999999,98.95,42.464,152.69999999999996,92.57,95.68,22.725,177.66
125.97,818.99,99.01,42.495,152.775,92.7,95.7,22.7375,177.6276
125.98,818.93,99.035,42.49,152.66,92.69749999999999,95.705,22.75,177.64
125.99,819.22,99.06,42.48,152.75,92.695,95.74,22.75,177.5
125.95,819.07,99.02,42.46,152.71,92.83,95.69,22.76,177.49
125.95,818.5499999999997,99.07,42.45,152.7099,92.86000000000004,95.68,22.79,177.45
125.91,818.5499999999997,99.16,42.45,152.69999999999996,92.84,95.67,22.78,177.41
125.875,818.2899999999997,99.23,42.45,152.71,92.73,95.685,22.73,177.35
125.84,818.4584,99.18,42.45,152.7559,92.69,95.68,22.74,177.38
125.8,818.69,99.18,42.44,152.76,92.65,95.71,22.76,177.3
125.795,818.5399999999997,99.18,42.44,152.89,92.61000000000004,95.71,22.75,177.46
125.79,818.505,99.17,42.44,152.94,92.64,95.71,22.7553,177.53
125.78,818.215,99.18,42.44,152.99,92.77,95.68,22.74,177.53
125.74,818.5041999999999,99.205,42.43,152.97,92.78,95.68,22.75,177.68
125.77333333333333,818.25,99.24,42.43,152.97999999999996,92.79,95.68,22.759999999999998,177.71
125.80666666666667,818.1499999999999,99.23500000000004,42.43,152.93499999999997,92.73500000000004,95.68,22.77,177.665
125.84,818.5,99.21,42.43,152.89,92.73,95.7,22.8,177.59
125.84,818.5499999999997,99.21,42.43,152.945,92.75,95.68,22.795,177.57
125.86,818.7799999999999,99.21,42.46,152.99,92.73,95.71,22.79,177.47999999999996
125.88,818.32,99.18,42.46,152.94999999999996,92.745,95.6963,22.84,177.44
125.905,818.64,99.21,42.465,152.94999999999996,92.725,95.7,22.86,177.47
125.93,818.7999999999997,99.205,42.47,152.985,92.7,95.725,22.88,177.69
125.93,818.8214,99.205,42.46,153.0,92.685,95.72,22.89,177.63
125.9,818.5592,99.24,42.46,152.88,92.6525,95.66,22.85,177.663
125.85,818.58,99.26,42.46,152.84,92.58,95.7,22.86,177.696
125.87,818.85,99.23,42.45,152.79,92.535,95.64,22.865000000000002,177.87
125.81,818.85,99.2101,42.47,152.84,92.58,95.62,22.87,177.82
125.815,818.7999999999997,99.21,42.47,152.82,92.73,95.665,22.875,177.77
125.82,818.878,99.22,42.46,152.8,92.73,95.68,22.88,177.72
125.82,818.745,99.23500000000004,42.45,152.9,92.77,95.71000000000001,22.87,177.65
125.82,818.62,99.245,42.43,152.8435,92.67,95.74,22.87,177.69
125.84666666666666,818.4199999999997,99.23,42.42,152.82499999999996,92.65,95.75333333333333,22.86,177.61
125.87333333333333,818.39,99.21,42.42,152.88,92.46,95.76666666666667,22.86,177.58
125.9,818.59,99.24,42.44,152.9,92.52,95.78,22.88,177.65
125.85,818.51,99.27,42.46,152.9,92.51,95.8006,22.87,177.71
125.845,818.38,99.32,42.45,152.93,92.51,95.77,22.865,177.7213
125.84,818.7949999999997,99.35,42.49,152.99,92.58,95.78,22.93,177.81
125.85,818.96,99.4,42.5,153.33,92.63,95.8557,22.95,177.68
125.79150000000004,819.19,99.375,42.53,153.37,92.66499999999999,95.87,22.96,177.63
125.85,819.47,99.45,42.54,153.35,92.7,95.87,22.97,177.64
125.85,819.5299999999999,99.43,42.535,153.32,92.63,95.85,22.97,177.61
125.85,819.33,99.43,42.5299,153.384,92.58,95.83,22.96,177.55
125.85,819.45,99.4501,42.53,153.40699999999998,92.61000000000004,95.84,22.9625,177.54
125.815,819.45,99.45,42.52,153.43,92.55,95.845,22.965,177.55666666666667
125.8,819.2999999999997,99.43,42.5052,153.4299,92.45,95.835,22.9575,177.57333333333332
125.75,819.32,99.41,42.51,153.40994999999998,92.45,95.8175,22.95,177.59
125.73,819.25,99.42,42.5,153.39,92.41,95.8,22.97,177.47999999999996
125.61000000000004,819.33,99.45,42.5,153.31,92.45,95.81,22.975,177.5
125.665,819.61,99.46,42.5,153.42,92.34,95.8001,22.97,177.43
125.63,819.58,99.44,42.5,153.41,92.37,95.84,22.935,177.32
125.645,819.8999999999999,99.465,42.505,153.3565,92.33,95.82,22.935,177.35
125.66,820.0,99.49,42.51,153.42,92.36000000000004,95.82499999999999,23.01,177.4
125.63,819.9794,99.47666666666666,42.5,153.405,92.31500000000003,95.83,23.01,177.36
125.49,819.8999999999999,99.46333333333334,42.48,153.335,92.27,95.81,23.015,177.29
125.59,820.07,99.45,42.47,153.37,92.33,95.83,23.03,177.44
125.61000000000004,819.88,99.446,42.47,153.41,92.26,95.82,23.015,177.4196
125.56,819.73,99.458,42.45,153.405,92.22,95.82,23.0075,177.37
125.555,819.7899999999997,99.44200000000001,42.45,153.405,92.23500000000004,95.83,23.0,177.33
125.55,819.81,99.44,42.45,153.405,92.21,95.81,23.02,177.205
125.56,819.805,99.47,42.44,153.405,92.12,95.8,22.995,177.08
125.49,820.2999999999997,99.48,42.45,153.405,92.16,95.815,22.98,177.055
125.48249999999999,820.4989999999998,99.5,42.445,153.26,92.18,95.8,22.96,177.03
125.475,820.44,99.5,42.442499999999995,153.315,92.215,95.81,22.95,177.07
125.4675,820.48,99.51,42.44,153.275,92.259,95.86000000000004,22.9,176.97999999999996
125.46,820.0299999999999,99.475,42.41,153.235,92.16,95.78,22.84,176.83
125.45,819.85,99.48,42.4,153.27,92.125,95.79,22.83,176.8125
125.475,820.26,99.495,42.395,153.305,92.09,95.81,22.81,176.795
125.56,820.1335,99.51,42.4,153.34,92.12,95.82,22.76,176.7925
125.56,820.1103,99.55,42.395,153.375,92.09,95.81,22.77,176.79
125.5575,819.93,99.53,42.39,153.3997,92.09,95.8212,22.74,176.9
125.555,820.13,99.53,42.37,153.38,92.13,95.79,22.72,176.74
125.5525,820.11,99.525,42.35,153.3275,92.08500000000001,95.7722,22.71,176.81
125.55,820.0249999999999,99.53,42.35,153.275,92.04,95.7948,22.71,176.775
125.55,820.32,99.53,42.35,153.34,92.0656,95.8174,22.72,176.74
125.6,820.25,99.535,42.38,153.32999999999998,92.12,95.84,22.74,176.795
125.65,820.13,99.52,42.37,153.32,92.12,95.84,22.8,176.81
125.65,819.96,99.5762,42.37,153.26,92.13,95.81,22.77,176.78
125.65,819.9199999999997,99.585,42.38,153.315,92.15,95.81,22.79,176.86
125.65,819.975,99.58,42.37,153.37,92.13,95.81,22.79,176.7371
125.655,820.18,99.56,42.37,153.35000000000002,92.21,95.81,22.77,176.69999999999996
125.66,820.395,99.555,42.36,153.33,92.17,95.83,22.79,176.645
125.645,820.3125,99.55,42.37,153.325,92.1525,95.81,22.76,176.6
125.63,820.1599999999999,99.55,42.37,153.32,92.135,95.79,22.79,176.68
125.64,820.61,99.54,42.37,153.3025,92.2,95.7999,22.776666666666667,176.65
125.65,820.745,99.55,42.36,153.285,92.22,95.79,22.763333333333332,176.6971
125.6506,820.5399999999997,99.57,42.34,153.31,92.16,95.78,22.75,176.84799999999996
125.63030000000002,820.4199999999997,99.59,42.3399,153.29250000000002,92.16,95.76,22.744999999999997,176.75899999999996
125.61000000000004,820.56,99.56,42.33,153.275,92.16,95.75,22.74,176.67
125.61000000000004,820.555,99.54,42.32,153.275,92.15,95.75,22.75,176.69999999999996
125.61000000000004,820.5449999999997,99.56,42.32,153.28,92.06,95.77,22.759999999999998,176.645
125.61000000000004,820.6,99.55,42.32,153.31333333333333,92.08,95.78680000000004,22.77,176.635
125.61000000000004,820.7,99.61000000000004,42.35,153.34666666666666,92.05,95.79,22.74,176.74
125.62500000000003,820.49,99.5714,42.33,153.38,92.02,95.8099,22.79,176.6748
125.64,820.51,99.56,42.33,153.38,92.02,95.80995,22.79,176.6801
125.63,820.7,99.57,42.33,153.38,91.94,95.81,22.79,176.68
125.65,820.895,99.61000000000004,42.32,153.38,91.96,95.81,22.799999999999997,176.68
125.68,820.865,99.59,42.3,153.38,91.97,95.79,22.81,176.68
125.69,820.58,99.59,42.31,153.37,92.03,95.82,22.83,176.66
125.69,820.74,99.61000000000004,42.31,153.315,92.00999999999999,95.82,22.84,176.75
125.69,820.84,99.6,42.301,153.3,91.99,95.82,22.86,176.75
125.68,820.825,99.64,42.31,153.29000000000002,91.95,95.82,22.87,176.97
125.7,820.7899999999997,99.62,42.31,153.28,91.985,95.81,22.880000000000003,176.92000000000002
125.72,821.2999999999997,99.62,42.32,153.39,92.02,95.85,22.89,176.87
125.73,821.18,99.6068,42.315,153.38,92.02,95.86000000000004,22.88,176.96
125.72,821.1250999999999,99.60840000000002,42.31,153.34,92.06,95.84005000000002,22.9,176.97
125.71000000000001,821.25,99.61000000000004,42.3,153.39,92.03,95.8201,22.86,176.925
125.7,821.445,99.62,42.29,153.345,92.1,95.82,22.855,176.88
125.76,821.52,99.65,42.305,153.3799,92.14,95.85,22.85,177.02
125.755,821.68,99.67500000000001,42.3,153.36744999999996,92.18,95.865,22.843333333333334,176.9975
125.75,821.51,99.7,42.3,153.35499999999996,92.14,95.86000000000004,22.836666666666666,176.97500000000002
125.77,821.375,99.7,42.32,153.35499999999996,92.11,95.835,22.83,176.95250000000001
125.81,821.39,99.71,42.34,153.34,92.1,95.83,22.81,176.93
125.82,821.4199999999997,99.73,42.35,153.3275,92.21,95.84,22.79,176.92
125.81,821.5449999999997,99.7,42.37,153.2201,92.1925,95.83,22.86,176.845
125.81,821.27,99.67,42.38,153.29,92.175,95.82,22.83,176.77
125.81,821.237,99.685,42.36,153.31,92.1575,95.82,22.814999999999998,176.82
125.82333333333334,821.2040000000001,99.7,42.35,153.33,92.14,95.82,22.8,176.87
125.83666666666666,821.171,99.74,42.35,153.285,92.16,95.82,22.79,176.97
125.85,821.6984,99.76,42.36,153.32499999999996,92.18,95.84,22.81,177.03
125.84,821.57,99.77,42.36,153.35749999999996,92.22,95.8275,22.8,177.0475
125.83,821.47,99.71,42.36,153.39,92.18,95.815,22.78,177.065
125.79,821.715,99.71,42.37,153.39,92.16,95.80250000000001,22.76,177.0825
125.83,821.7799999999999,99.71,42.38,153.365,92.13,95.79,22.73,177.10833333333335
125.83,821.76,99.77,42.39,153.42,92.14,95.86000000000004,22.75,177.13416666666666
125.84,821.928,99.78,42.38,153.46,92.12,95.89,22.755000000000003,177.16
125.83,821.89,99.79,42.38,153.44999999999996,92.15,95.87,22.76,177.16
125.82,822.24,99.795,42.39,153.585,92.13,95.91,22.758000000000003,177.15
125.88,821.99,99.81,42.42,153.565,92.11,95.9,22.756,177.085
125.88,822.0499999999997,99.79,42.43,153.55,92.11,95.89,22.754,177.13
125.88,822.0,99.79,42.41,153.47,92.11,95.84,22.752,177.04
125.86,822.19,99.765,42.42,153.47999999999996,92.05,95.84,22.75,177.02499999999998
125.84,822.26,99.77250000000001,42.4,153.35,92.06,95.81,22.74,177.01
125.86000000000004,822.39,99.78,42.4,153.51,92.07,95.815,22.73,177.05
125.91,822.48,99.7496,42.41,153.41,92.13,95.82,22.73,177.09
125.95,822.49,99.7397,42.4,153.43,92.115,95.84,22.73,177.0816
125.93,822.435,99.7298,42.38,153.44,92.07,95.83,22.73,176.99
125.93,822.515,99.7199,42.38,153.44,92.105,95.79,22.74,176.945
125.93,822.52,99.71,42.38,153.445,92.1,95.79,22.743333333333332,176.94
125.93,822.2999999999997,99.72,42.38,153.515,92.04,95.8,22.746666666666666,176.9425
125.905,822.21,99.7,42.36,153.395,92.07,95.79,22.75,176.945
125.88,822.3999999999999,99.63,42.365,153.345,92.06,95.76,22.74,176.84
125.85,822.4199999999997,99.65,42.3625,153.3625,92.13,95.765,22.73,176.835
125.85,822.6599999999999,99.68,42.36,153.38,92.18,95.77,22.745,176.82499999999996
125.86000000000004,822.85,99.66,42.37,153.39,92.31,95.79,22.76,176.88
125.85500000000002,823.07,99.63,42.35,153.36745,92.29,95.79,22.7425,176.83
125.85,822.8903,99.6,42.34,153.3449,92.3,95.79,22.725,176.8325
125.8,823.225,99.61000000000004,42.34,153.37745,92.34,95.79,22.74,176.835
125.93,823.6549999999999,99.67,42.37,153.41,92.4099,95.84,22.73,176.94999999999996
125.95,823.94,99.64,42.38,153.47,92.37,95.83,22.7,176.92
125.96,824.1,99.64,42.37,153.47996666666666,92.37,95.87,22.7,176.84
125.96,823.9575,99.64,42.38,153.48993333333334,92.355,95.9,22.7,177.01
125.96,823.76,99.66,42.41,153.4999,92.39,95.9,22.7,177.04
125.97,823.96,99.65,42.39,153.51495,92.39,95.91,22.7025,177.04
125.97,823.7769999999999,99.64750000000001,42.39,153.53,92.41,95.93799999999999,22.705,176.97999999999996
125.97,823.5939999999998,99.645,42.39,153.5299,92.35,95.88,22.72,176.97999999999996
125.98,823.7731999999999,99.69,42.4,153.56,92.31,95.9,22.73,177.03
126.0,823.68,99.725,42.4,153.56,92.35,95.88,22.74,177.035
126.025,823.83,99.7575,42.42,153.645,92.39,95.89,22.74,177.05
126.03,823.7999999999997,99.79,42.42,153.65,92.36000000000004,95.92,22.74,177.065
126.05,824.01,99.825,42.43,153.65,92.43,95.93,22.74,176.97
126.03999999999999,824.0802999999999,99.83,42.44,153.69999999999996,92.42,95.93,22.74,176.94999999999996
126.03,823.88,99.9,42.44,153.61,92.445,95.89,22.74,177.05
126.09,823.81,99.91,42.44,153.61,92.47,95.91,22.785,177.04
126.11333333333333,824.06,99.93,42.435,153.62333333333333,92.42,95.914,22.79,177.05
126.13666666666667,823.9199,99.9,42.43,153.63666666666668,92.41,95.94,22.78,177.06
126.16,824.01,99.9,42.4399,153.65,92.46,95.96,22.78,177.12
126.205,824.62,99.91,42.46,153.785,92.56,96.01,22.79,177.08
126.17,824.73,99.88,42.46,153.835,92.51,96.03,22.8,177.065
126.16,824.69,99.88,42.46,153.78750000000002,92.48,96.005,22.79,177.05
126.15,824.02,99.87000000000002,42.43,153.74,92.46,95.98,22.78,177.0
126.1,824.4479999999999,99.86000000000004,42.42,153.7599,92.44,95.9979,22.77,177.0
126.09,824.11,99.92,42.42,153.81989999999996,92.44,96.0,22.77,176.97999999999996
126.08,824.3101,99.86000000000004,42.42,153.7575,92.43,96.03,22.77,176.96
126.05,824.4556,99.86125000000001,42.42,153.72999999999996,92.41,96.03333333333333,22.78,176.93
126.04124999999999,824.2799999999999,99.8625,42.42,153.76999999999998,92.41,96.03666666666668,22.783333333333335,176.85
126.0325,824.5,99.86000000000004,42.42,153.81,92.43,96.04,22.786666666666665,176.89
126.07,824.94,99.87,42.46,153.9,92.47,96.08,22.79,176.86
126.11000000000004,825.07,99.9156,42.46,154.0,92.5,96.07,22.83,177.04249999999996
126.14,825.51,99.92,42.46,154.05,92.46,96.1,22.83,177.0
126.1132,825.76,99.94,42.48,154.08,92.48,96.12,22.84,177.06333333333333
126.06,825.6,99.94999999999999,42.47,154.1199,92.52,96.13,22.85,177.12666666666667
126.08,825.5,99.96,42.48,154.12,92.49,96.14,22.855,177.19
126.1,825.34,99.95,42.47,154.15,92.4759,96.13,22.86,177.19999999999996
126.12,825.37,99.97,42.4775,154.17,92.45,96.17,22.85,177.145
126.14,825.49,99.9,42.48,154.17,92.51,96.149,22.84,177.11
126.19,825.5299999999999,99.9,42.461999999999996,154.06,92.53,96.16,22.81,177.06
126.16,825.635,99.87,42.47,154.15,92.505,96.17,22.799999999999997,177.14
126.18,825.85,99.93,42.48,154.19,92.5309,96.15,22.79,177.13
126.2,825.945,99.94,42.49,154.19999999999996,92.6,96.15,22.8,177.19999999999996
126.2,825.81,99.91,42.49,154.17666666666665,92.55,96.12,22.8,177.195
126.15,825.73,99.87,42.46,154.1533333333333,92.58,96.12,22.8,177.19
126.2,825.875,99.93,42.47,154.13,92.58,96.13,22.805,177.27
126.22,825.84,99.91,42.5,154.19999999999996,92.69,96.13,22.87,177.3
126.2,825.61,99.91499999999999,42.49,154.24,92.69,96.14040000000004,22.84,177.35
126.17999999999999,825.45,99.92,42.49,154.1825,92.71,96.16,22.83,177.21
126.16,825.39,99.91,42.485,154.12,92.65,96.14,22.825,177.17
126.2,824.82,99.93,42.48,154.11,92.64,96.12,22.82,177.1
126.15,825.0,99.93,42.49,154.17,92.59,96.135,22.815,177.03
126.15,824.83,99.89,42.49,154.12,92.53,96.15,22.79,177.15
126.14,824.51,99.84,42.48,154.06,92.53,96.13,22.795,177.11
126.15,824.6510000000003,99.84,42.49,154.07,92.525,96.1,22.8,177.07
126.14500000000001,825.065,99.85,42.5,154.08,92.53,96.12,22.8,177.06
126.14,824.7899999999997,99.85,42.5,154.09,92.48,96.09,22.8,177.06
126.1477,824.62,99.85,42.51,154.03,92.51,96.085,22.77,177.06
126.23,824.7405,99.82,42.515,154.0868,92.54,96.09,22.77,177.12
126.27,824.7999999999997,99.8,42.53,154.1,92.56890000000004,96.11500000000001,22.76,177.15
126.3,825.1019999999999,99.82,42.54,154.19999999999996,92.54,96.14,22.85,177.15
126.31,824.965,99.805,42.53,154.15,92.54,96.09,22.815,177.05
126.26,824.82,99.81,42.52,154.1477,92.4601,96.08,22.8125,177.0
126.29,825.2799999999999,99.8,42.53,154.185,92.51005,96.11000000000004,22.81,176.97
126.32,825.5153,99.82,42.54,154.2075,92.56,96.11000000000004,22.8125,177.04
126.32,825.31,99.815,42.55,154.18,92.6,96.09,22.815,176.96
126.35,825.5499999999997,99.81,42.555,154.25,92.63,96.11000000000004,22.82,176.9501
126.36000000000004,825.36,99.81,42.55,154.38,92.59,96.1,22.82,176.94504999999998
126.35,825.14,99.79,42.55,154.32499999999996,92.62,96.08,22.81,176.94
126.29,824.9532,99.8,42.55,154.3,92.64,96.08,22.79,176.99
126.28666666666668,825.0,99.79,42.54,154.36,92.605,96.07,22.78,176.87
126.28333333333333,825.01,99.8,42.53,154.3699,92.62,96.07,22.78,177.1
126.28,825.0879,99.82,42.54,154.38,92.625,96.084,22.79,177.19999999999996
126.28,824.93,99.83,42.54,154.38,92.6,96.08,22.78333333333333,177.21
126.28999999999999,824.59,99.81,42.53,154.3865,92.625,96.06,22.776666666666667,177.15
126.3,824.4199999999997,99.75,42.52,154.29,92.7,96.07,22.77,177.15
126.28,824.365,99.78680000000004,42.51,154.21,92.65,96.04,22.77,177.21
126.26,824.24,99.79,42.5,154.22999999999996,92.645,96.04,22.77,177.19999999999996
126.32,824.31,99.76,42.5,154.16,92.7,96.0301,22.77,177.21999999999997
126.32,824.2899999999997,99.75,42.48,154.1575,92.63,96.0,22.775,177.24
126.31,824.1352,99.71,42.48,154.155,92.56,95.98,22.77,177.15
126.31,824.1303,99.7,42.48,154.19,92.6899,95.995,22.775,177.17499999999998
126.32,824.34,99.72,42.47,154.22,92.65,95.9931,22.775,177.19999999999996
126.31,824.1,99.72,42.49,154.18,92.67,96.01,22.7775,177.19
126.34,824.23,99.75,42.51,154.25,92.68,96.01,22.78,177.21333333333334
126.35,824.25,99.73100000000001,42.51,154.2125,92.66,95.99,22.77,177.23666666666665
126.41,824.4099999999999,99.75,42.53,154.26,92.7,96.01,22.75,177.26
126.37,824.06,99.74,42.52,154.22999999999996,92.64,95.99,22.74,177.19
126.34,824.1499999999999,99.73,42.53,154.19999999999996,92.6257,95.985,22.74,177.165
126.33,823.72,99.66,42.52,154.13,92.65,95.98,22.744999999999997,177.14
126.305,823.6,99.69,42.52,154.115,92.635,95.98,22.75,177.19
126.28,823.32,99.7,42.51,154.1,92.62,95.98,22.74,177.25
126.3086,823.6599999999999,99.73,42.51,154.16,92.6208,95.98,22.73,177.2425
126.34,823.69,99.74,42.53,154.22999999999996,92.67,95.99,22.76,177.39
126.33,823.76,99.75,42.525,154.22,92.635,95.97,22.75,177.44999999999996
126.28,823.75,99.7,42.53,154.225,92.59,95.94,22.75,177.4268
